Date,Link,USDC
2018-08-17,-0.009371534,NA
2018-08-18,0.006364982,NA
2018-08-19,0.070475802,NA
2018-08-20,0.068926056,NA
2018-08-21,0.033121703,NA
2018-08-22,0.053733753,NA
2018-08-23,-0.005159083,NA
2018-08-24,0.020478531,NA
2018-08-25,-0.037870274,NA
2018-08-26,0.052958574,NA
2018-08-27,-0.031265749,NA
2018-08-28,-0.02961889,NA
2018-08-29,-0.057314457,NA
2018-08-30,0,NA
2018-08-31,0.081769824,NA
2018-09-01,-0.041397369,NA
2018-09-02,-0.048835129,NA
2018-09-03,-0.004732617,NA
2018-09-04,-0.010491274,NA
2018-09-05,0.111477912,NA
2018-09-06,0.021214202,NA
2018-09-07,0.010025147,NA
2018-09-08,0.01648842,NA
2018-09-09,0,NA
2018-09-10,0.0305982,NA
2018-09-11,0.117342371,NA
2018-09-12,-0.019943681,NA
2018-09-13,-0.069249842,NA
2018-09-14,-0.021037005,NA
2018-09-15,-0.046745013,NA
2018-09-16,0.036456042,NA
2018-09-17,0.0875416,NA
2018-09-18,0.013753384,NA
2018-09-19,0.125501395,NA
2018-09-20,0.001900539,NA
2018-09-21,-0.094171588,NA
2018-09-22,-0.013300861,NA
2018-09-23,-0.007072165,NA
2018-09-24,0.042382168,NA
2018-09-25,0.010825546,NA
2018-09-26,0.085102872,NA
2018-09-27,-0.065115531,NA
2018-09-28,-0.004628107,NA
2018-09-29,-0.057275366,NA
2018-09-30,0.003502631,NA
2018-10-01,-0.011959341,NA
2018-10-02,0.004237294,NA
2018-10-03,-0.005653725,NA
2018-10-04,0.025193775,NA
2018-10-05,0.077754194,NA
2018-10-06,-0.041115089,NA
2018-10-07,0.002661346,NA
2018-10-08,-0.001995345,NA
2018-10-09,-0.010036886,NA
2018-10-10,0.041494263,NA
2018-10-11,0.035491685,NA
2018-10-12,-0.004368182,-0.028898767
2018-10-13,0.010575526,-0.013882323
2018-10-14,0.039434894,0.026424697
2018-10-15,-0.033881039,-0.064755867
2018-10-16,0.057397701,-0.004305491
2018-10-17,0.059222265,0.010424213
2018-10-18,0.022740558,0.02052799
2018-10-19,-0.037081675,-0.006795949
2018-10-20,0.004434597,-0.009268654
2018-10-21,0.004965527,0.001416001
2018-10-22,0.059296407,0.004839695
2018-10-23,0.110379022,0.000804343
