date,open,high,low,close,volumefrom,volumeto,supply,market_cap,price_log_return,volumefrom_log_return,market_cap_log_return,volatility_5d,volatility_10d,volatility_30d,volatility_5d_log_return,volatility_10d_log_return,volatility_30d_log_return
2020-07-22,9392.83,9551.87,9289.85,9537.24,29959.04,281661129.12,18439677.294971,175863627884.6892,0.01525750316186571,-0.1412832690665823,0.015306312148586338,0.011850047485231253,0.01041503993306283,0.013525560423759894,0.048400281704165306,0.08364335106834668,-0.12725498356276355
2020-07-23,9537.24,9675.5,9458.25,9615.21,43462.72,415079930.39,18440527.294971,177309542451.87808,0.008142084249458788,0.3720724437440757,0.008188179438441665,0.011398866716756812,0.00999414590447285,0.013559024796014557,-0.03881793511756051,-0.04125139687083145,0.0024711022163989103
2020-07-24,9615.21,9647.83,9477.19,9550.23,33810.92,323092524.09,18441533.544971,176120886907.1884,-0.006780981703606468,-0.25111973192214504,-0.006726415880692308,0.0134986496180005,0.010559068540101265,0.011926764246886129,0.16907571249689912,0.05498555593564009,-0.1282673911648768
2020-07-25,9550.23,9744.72,9536.76,9708.41,24211.0,233301043.7,18442421.044971,179046584897.2069,0.01642728221001904,-0.3339767518912437,0.016475406117015295,0.011789236151557693,0.010684609940685858,0.012187940968280577,-0.1354027275182779,0.011819314829693702,0.021662046619048053
2020-07-26,9708.41,10140.55,9659.08,9942.01,42161.94,417337407.31,18443408.544971,183364552188.18713,0.0237766933235294,0.5547108430120115,0.023830236920689078,0.011559544216242255,0.01119166564754968,0.012659261051026407,-0.019675489820446784,0.046364979893257455,0.03794202853304583
2020-07-27,9942.01,11397.48,9935.51,11042.94,128836.3,1363674374.42,18444339.794971,203679737695.47708,0.1050220962382553,1.1170246879064214,0.10507258725720371,0.04381650019795382,0.03225293713385673,0.022160603524607508,1.3324990284844487,1.0584397503319958,0.5599270501579573
2020-07-28,11042.94,11253.39,10590.98,10933.26,85478.78,938667838.04,18445246.044971,201666670773.63965,-0.009981790361645468,-0.41027444825644016,-0.00993265725377522,0.04666337273996493,0.03316527577366567,0.022340387636860855,0.06294908401572315,0.02789430513184494,0.008080048812091482
2020-07-29,10933.26,11348.53,10854.04,11112.04,61949.48,689206497.21,18446171.044971,204974590498.55957,0.016219685775165863,-0.3219489438307861,0.01626983294072117,0.043701473427253466,0.03284655614929337,0.0224169370247719,-0.06557772890247585,-0.009656514347656282,0.0034206451404586377
2020-07-30,11112.04,11182.76,10875.14,11113.66,45655.22,503563543.58,18447014.794971,205013850446.2774,0.00014577718612858518,-0.30520126536789305,0.000191517340085686,0.045559981960405914,0.03242033747764614,0.022337233547175588,0.04164792422251058,-0.013060977992595799,-0.003561838409344395
2020-07-31,11113.66,11454.11,10981.87,11352.72,54108.77,608151203.91,18447971.044971,209434649841.66318,0.02128238044989514,0.16987833111734568,0.021334216761981703,0.04561821735903371,0.03237649646737149,0.022485622790084682,0.0012773976012082342,-0.0013531839225862227,0.006621165947370377
2020-08-01,11352.72,11874.77,11240.98,11812.42,63746.48,741252933.72,18448827.294971,217925296515.66135,0.03969415751654473,0.16391768690446448,0.0397405707577298,0.019260204188415193,0.03298325467134984,0.022831274791104264,-0.8622661322308371,0.018567256594807506,0.01525517953797524
2020-08-02,11812.42,12106.89,10694.22,11063.5,63507.01,721639453.44,18449708.544971,204118350487.28665,-0.06550011858130654,-0.003763673321321762,-0.06545235245833694,0.040478033594961715,0.04297780012911495,0.02649657703141907,0.7427184386029235,0.2646837078334359,0.148884258621764
2020-08-03,11063.5,11476.29,10945.66,11234.73,42060.85,473995003.36,18450721.044971,207288869245.56705,0.015358471576945889,-0.4120329142112304,0.015413348986857265,0.040406126634148096,0.04235229382215868,0.026543127490968526,-0.0017780237701334007,-0.014661123227607029,0.001755306592329649
2020-08-04,11234.73,11415.16,11021.07,11194.18,35052.44,393301819.23,18451627.294971,206550837232.81848,-0.003615872923029236,-0.18227215340171932,-0.0035667568076084267,0.04048878157778194,0.04281442885382032,0.02649524801745403,0.002043514832377301,0.010852585444970293,-0.0018054657994936952
2020-08-05,11194.18,11791.62,11095.47,11752.05,48146.58,555395574.17,18452433.544971,216853921642.17642,0.048633693074722505,0.31740488179059345,0.04867738745316086,0.04539015149493674,0.04413094286596179,0.02729334958109005,0.11427021642886329,0.03028602017184455,0.029677670609766834
2020-08-06,11752.05,11909.81,11577.8,11771.27,49916.86,587033759.68,18453408.544971,217220054403.1608,0.0016341234381053742,0.03610871375767731,0.001686960601276106,0.04154724291650883,0.031429792074254566,0.027124281509914604,-0.08846399079105885,-0.33940495343017385,-0.006213744030038309
